admin2_name;admin2_code;admin2_pcode;admin1_name;admin1_pcode;admin0_name;admin0_pcode;pop_total;pop_male;pop_female;literacy_all;literacy_male;literacy_female
Abjohoun;BJ1002;204010002;Oueme;204010;Benin;BJ;76870;36700;40170;0,533;0,654;0,425
Abomey;BJ1201;204012001;Zou;204012;Benin;BJ;93820;45100;48720;0,693;0,792;0,604
Abomey-Calavi;BJ0301;204003001;Atlantique;204003;Benin;BJ;667380;329740;337640;0,778;0,871;0,689
Adja-Ouere;BJ1101;204011001;Plateau;204011;Benin;BJ;117310;56590;60720;0,401;0,491;0,317
Adjarra;BJ0101;204010001;Oueme;204010;Benin;BJ;97650;47490;50160;0,645;0,761;0,54
Agbangnizoun;BJ1202;204012002;Zou;204012;Benin;BJ;70950;34090;36860;0,528;0,64;0,426
Aguegues;BJ1003;204010003;Oueme;204010;Benin;BJ;44160;21790;22370;0,424;0,524;0,327
Akpro-Misserete;BJ1004;204010004;Oueme;204010;Benin;BJ;125360;61100;64260;0,583;0,696;0,478
Allada;BJ0302;204003002;Atlantique;204003;Benin;BJ;127330;62050;65280;0,556;0,676;0,445
Aplahoue;BJ0601;204006001;Couffo;204006;Benin;BJ;170990;79120;91870;0,492;0,619;0,387
Athieme;BJ0901;204009001;Mono;204009;Benin;BJ;56980;27580;29400;0,67;0,789;0,56
Avrankou;BJ1005;204010005;Oueme;204010;Benin;BJ;128860;61980;66880;0,555;0,681;0,441
Banikorara;BJ0101;204001001;Alibori;204001;Benin;BJ;249960;124970;124990;0,241;0,28;0,202
Bante;BJ0501;204005001;Collines;204005;Benin;BJ;109000;53890;55110;0,601;0,7;0,505
Bassila;BJ0701;204007001;Donga;204007;Benin;BJ;131590;65130;66460;0,445;0,528;0,365
Bembereke;BJ0401;204004001;Borgou;204004;Benin;BJ;132630;67610;65020;0,38;0,416;0,342
Bohicon;BJ1203;204012003;Zou;204012;Benin;BJ;173030;81630;91400;0,666;0,773;0,574
Bonou;BJ1006;204010006;Oueme;204010;Benin;BJ;44050;21630;22420;0,554;0,688;0,431
Bopa;BJ0902;204009002;Mono;204009;Benin;BJ;98900;48530;50370;0,503;0,619;0,392
Boukoumbe;BJ0201;204002001;Atacora;204002;Benin;BJ;84140;40930;43210;0,32;0,393;0,25
Come;BJ0903;204009003;Mono;204009;Benin;BJ;80660;38480;42180;0,699;0,835;0,577
Copargo;BJ0703;204007002;Donga;204007;Benin;BJ;71400;35220;36180;0,256;0,315;0,199
Cotonou;BJ0800;204008001;Littoral;204008;Benin;BJ;683970;328190;355780;0,794;0,875;0,721
Cove;BJ1204;204012004;Zou;204012;Benin;BJ;52730;25500;27230;0,604;0,719;0,496
Crand-Popo;BJ1007;204009004;Mono;204009;Benin;BJ;58910;29560;29350;0,658;0,786;0,531
Dangbo;BJ0502;204010007;Oueme;204010;Benin;BJ;95620;47230;48390;0,466;0,57;0,366
Dassa-Zoume;BJ0602;204005002;Collines;204005;Benin;BJ;113630;55460;58170;0,554;0,639;0,473
Djakotome;BJ1205;204006002;Couffo;204006;Benin;BJ;136900;63660;73240;0,529;0,669;0,413
Djidja;BJ0702;204012005;Zou;204012;Benin;BJ;124950;61070;63880;0,41;0,493;0,333
Djougou;BJ0603;204007003;Donga;204007;Benin;BJ;270360;133820;136540;0,417;0,492;0,344
Dogbo;BJ0503;204006003;Couffo;204006;Benin;BJ;102110;49010;53100;0,636;0,775;0,512
Glazoue;BJ0102;204005003;Collines;204005;Benin;BJ;122170;60140;62030;0,593;0,685;0,506
Gogounou;BJ0904;204001002;Alibori;204001;Benin;BJ;119010;58520;60490;0,227;0,24;0,214
Houeyogbe;BJ0905;204009005;Mono;204009;Benin;BJ;102780;49780;53000;0,617;0,728;0,512
Ifangni;BJ1102;204011002;Plateau;204011;Benin;BJ;110580;52620;57960;0,551;0,681;0,437
Kalale;BJ0402;204004002;Borgou;204004;Benin;BJ;174000;85210;88790;0,191;0,215;0,169
Kandi;BJ0103;204001003;Alibori;204001;Benin;BJ;178030;88320;89710;0,281;0,318;0,245
Karimama;BJ0104;204001004;Alibori;204001;Benin;BJ;65150;32640;32510;0,18;0,246;0,114
Kerou;BJ0202;204002003;Atacora;204002;Benin;BJ;101510;50030;51480;0,215;0,238;0,193
Ketou;BJ1103;204011003;Plateau;204011;Benin;BJ;159540;78140;81400;0,421;0,511;0,336
Klouekanme;BJ0604;204006004;Couffo;204006;Benin;BJ;128770;59130;69640;0,492;0,63;0,381
Kobli;BJ0203;204002002;Atacora;204002;Benin;BJ;72380;35260;37120;0,377;0,488;0,275
Kouande;BJ0204;204002004;Atacora;204002;Benin;BJ;110540;54830;55710;0,328;0,392;0,264
Kpomasse;BJ0303;204003003;Atlantique;204003;Benin;BJ;70050;34370;35680;0,567;0,697;0,443
Lalo;BJ0605;204006005;Couffo;204006;Benin;BJ;121410;56580;64830;0,446;0,575;0,336
Lokossa;BJ0906;204009006;Mono;204009;Benin;BJ;108390;52600;55790;0,692;0,81;0,582
Malanville;BJ0105;204001005;Alibori;204001;Benin;BJ;169750;85100;84650;0,241;0,286;0,196
Materi;BJ0205;204002005;Atacora;204002;Benin;BJ;116070;56480;59590;0,429;0,552;0,316
N'Dali;BJ0206;204004003;Borgou;204004;Benin;BJ;114870;57600;57270;0,419;0,478;0,359
Natitingou;BJ0403;204002006;Atacora;204002;Benin;BJ;104110;50450;53660;0,534;0,608;0,467
Nikki;BJ0404;204004004;Borgou;204004;Benin;BJ;156660;78040;78620;0,318;0,367;0,269
Ouake;BJ0704;204007004;Donga;204007;Benin;BJ;74440;37120;37320;0,519;0,593;0,447
Ouesse;BJ0504;204005004;Collines;204005;Benin;BJ;141590;70810;70780;0,48;0,566;0,395
Ouidah;BJ0304;204003004;Atlantique;204003;Benin;BJ;165170;81030;84140;0,72;0,829;0,618
Ouinhi;BJ1206;204012006;Zou;204012;Benin;BJ;60670;29380;31290;0,44;0,555;0,335
Parakou;BJ0405;204004005;Borgou;204004;Benin;BJ;254550;126110;128440;0,737;0,815;0,66
Penhunco;BJ0207;204002007;Atacora;204002;Benin;BJ;81630;41280;40350;0,342;0,399;0,286
Perere;BJ0406;204004006;Borgou;204004;Benin;BJ;79270;39010;40260;0,291;0,36;0,224
Pobe;BJ1104;204011004;Plateau;204011;Benin;BJ;122180;59100;63080;0,438;0,525;0,359
Port-Novo;BJ1008;204010008;Oueme;204010;Benin;BJ;268030;128390;139640;0,774;0,863;0,694
Sakete;BJ1105;204011005;Plateau;204011;Benin;BJ;118100;55910;62190;0,519;0,628;0,424
Savalou;BJ0505;204005005;Collines;204005;Benin;BJ;144220;70920;73300;0,528;0,64;0,423
Save;BJ0506;204005006;Collines;204005;Benin;BJ;86970;43780;43190;0,565;0,638;0,492
Segbana;BJ0106;204001006;Alibori;204001;Benin;BJ;90600;45520;45080;0,226;0,27;0,181
Seme-Kpodji;BJ1009;204010009;Oueme;204010;Benin;BJ;222770;110300;112470;0,723;0,823;0,627
Sinende;BJ0407;204004007;Borgou;204004;Benin;BJ;91170;45040;46130;0,313;0,326;0,299
So-Ava;BJ0305;204003005;Atlantique;204003;Benin;BJ;117560;60000;57560;0,362;0,449;0,272
Taqnguiete;BJ0208;204002008;Atacora;204002;Benin;BJ;76480;37000;39480;0,39;0,478;0,309
Tchaourou;BJ0408;204004008;Borgou;204004;Benin;BJ;225830;113290;112540;0,37;0,436;0,304
Toffo;BJ0306;204003006;Atlantique;204003;Benin;BJ;102010;49180;52830;0,495;0,63;0,372
Tori-Bossito;BJ0307;204003007;Atlantique;204003;Benin;BJ;58250;28800;29450;0,515;0,603;0,429
Toucountouna;BJ0209;204002009;Atacora;204002;Benin;BJ;39490;19260;20230;0,354;0,427;0,285
Toviklin;BJ0606;204006006;Couffo;204006;Benin;BJ;87350;40490;46860;0,519;0,651;0,409
Za-Kpota;BJ1207;204012008;Zou;204012;Benin;BJ;133170;62580;70590;0,426;0,536;0,334
Zagnanado;BJ1208;204012007;Zou;204012;Benin;BJ;54450;26650;27800;0,524;0,639;0,414
Ze;BJ0308;204003008;Atlantique;204003;Benin;BJ;109670;54090;55580;0,466;0,584;0,357
Zogbodomey;BJ1209;204012009;Zou;204012;Benin;BJ;93340;45050;48290;0,481;0,592;0,38
